Frequent 0-itemsets:
itemset (occurrence)
{} (8124)
Frequent 1-itemsets:
itemset (occurrence)
116 (3148)
6 (3152)
10 (3244)
23 (3376)
52 (3516)
28 (3528)
3 (3656)
56 (3776)
1 (3916)
93 (3968)
110 (4040)
2 (4208)
76 (4384)
67 (4464)
53 (4608)
24 (4748)
63 (4936)
59 (5176)
39 (5612)
36 (6812)
90 (7488)
34 (7914)
86 (7924)
85 (8124)
Frequent 2-itemsets:
itemset (occurrence)
23 93 59 34 86 85 (3040)
23 93 36 90 34 86 (2976)
23 93 36 90 34 85 (2976)
23 93 36 90 86 85 (2976)
23 93 36 34 86 85 (3080)
23 93 90 34 86 85 (3080)
23 63 59 36 34 86 (2864)
23 63 59 36 34 85 (2864)
23 63 59 36 86 85 (2864)
23 63 59 34 86 85 (2968)
23 63 36 34 86 85 (2936)
23 59 39 36 34 86 (2872)
23 59 39 36 34 85 (2872)
23 59 39 36 86 85 (2872)
23 59 39 34 86 85 (2872)
23 59 36 34 86 85 (3128)
23 59 90 34 86 85 (2936)
23 39 36 34 86 85 (3016)
23 36 90 34 86 85 (2976)
28 2 39 34 86 85 (3024)
3 36 90 34 86 85 (2872)
56 39 36 90 34 86 (3312)
56 39 36 90 34 85 (3312)
56 39 36 90 86 85 (3312)
56 39 36 34 86 85 (3432)
56 39 90 34 86 85 (3312)
56 36 90 34 86 85 (3408)
1 24 36 90 34 86 (3152)
1 24 36 90 34 85 (3152)
1 24 36 90 86 85 (3152)
1 24 36 34 86 85 (3170)
1 24 90 34 86 85 (3248)
1 36 90 34 86 85 (3696)
93 63 59 36 90 85 (2952)
93 63 59 36 34 86 (2864)
93 63 59 36 34 85 (2864)
93 63 59 36 86 85 (2864)
93 63 59 90 34 86 (2960)
93 63 59 90 34 85 (2960)
93 63 59 90 86 85 (2960)
93 63 59 34 86 85 (3136)
93 63 36 34 86 85 (2936)
93 63 90 34 86 85 (3032)
93 59 36 90 34 86 (3024)
93 59 36 90 34 85 (3024)
93 59 36 90 86 85 (3024)
93 59 36 34 86 85 (3128)
93 59 90 34 86 85 (3224)
93 36 90 34 86 85 (3168)
110 36 90 34 86 85 (3664)
2 63 59 34 86 85 (2932)
2 63 39 34 86 85 (2992)
2 59 39 34 86 85 (3184)
2 59 90 34 86 85 (3080)
2 39 90 34 86 85 (3200)
76 67 90 34 86 85 (3080)
76 59 90 34 86 85 (2936)
76 36 90 34 86 85 (2928)
67 59 90 34 86 85 (2960)
67 36 90 34 86 85 (2960)
53 63 90 34 86 85 (3216)
53 59 90 34 86 85 (3216)
53 36 90 34 86 85 (3744)
24 36 90 34 86 85 (3296)
63 59 39 34 86 85 (2872)
63 59 36 90 34 86 (3192)
63 59 36 90 34 85 (3192)
63 59 36 90 86 85 (3192)
63 59 36 34 86 85 (3488)
63 59 90 34 86 85 (3596)
63 36 90 34 86 85 (3696)
59 39 36 34 86 85 (2872)
59 39 90 34 86 85 (2960)
59 36 90 34 86 85 (3936)
39 36 90 34 86 85 (4016)
Frequent 7-itemsets:
itemset (occurrence)
23 93 59 36 34 86 85 (2936)
23 93 59 90 34 86 85 (2936)
23 93 36 90 34 86 85 (2976)
23 63 59 36 34 86 85 (2864)
23 59 39 36 34 86 85 (2872)
56 39 36 90 34 86 85 (3312)
1 24 36 90 34 86 85 (3152)
93 63 59 36 34 86 85 (2864)
93 63 59 90 34 86 85 (2960)
93 59 36 90 34 86 85 (3024)
63 59 36 90 34 86 85 (3192)

Association rules:
condition ==>consequence (confidence, occurrence)

116 ==> 36 (0.939009, 2956)
116 ==> 36 90 (0.925032, 2912)
116 ==> 36 90 34 (0.925032, 2912)
116 ==> 36 90 34 86 (0.925032, 2912)
116 ==> 36 90 34 86 85 (0.925032, 2912)
116 ==> 36 90 34 85 (0.925032, 2912)
116 ==> 36 90 86 (0.925032, 2912)
116 ==> 36 90 86 85 (0.925032, 2912)
116 ==> 36 90 85 (0.925032, 2912)
116 ==> 36 34 (0.933291, 2938)
116 ==> 36 34 86 (0.933291, 2938)
116 ==> 36 34 86 85 (0.933291, 2938)
116 ==> 36 34 85 (0.933291, 2938)
116 ==> 36 86 (0.939009, 2956)
116 ==> 36 86 85 (0.939009, 2956)
116 ==> 36 85 (0.939009, 2956)
116 ==> 90 (0.986023, 3104)
116 ==> 90 34 (0.986023, 3104)
116 ==> 90 34 86 (0.986023, 3104)
116 ==> 90 34 86 85 (0.986023, 3104)
116 ==> 90 34 85 (0.986023, 3104)
116 ==> 90 86 (0.986023, 3104)
116 ==> 90 86 85 (0.986023, 3104)
116 ==> 90 85 (0.986023, 3104)
116 ==> 34 (0.994282, 3130)
116 ==> 34 86 (0.994282, 3130)
116 ==> 34 86 85 (0.994282, 3130)
116 ==> 34 85 (0.994282, 3130)
116 ==> 86 (1, 3148)
116 ==> 86 85 (1, 3148)
116 ==> 85 (1, 3148)
6 ==> 90 (0.958122, 3020)
6 ==> 90 34 (0.942893, 2972)
6 ==> 90 34 86 (0.942259, 2970)
6 ==> 90 34 86 85 (0.942259, 2970)
6 ==> 90 34 85 (0.942893, 2972)
6 ==> 90 86 (0.942259, 2970)
6 ==> 90 86 85 (0.942259, 2970)
6 ==> 90 85 (0.958122, 3020)
6 ==> 34 (0.982868, 3098)
6 ==> 34 86 (0.982234, 3096)
6 ==> 34 86 85 (0.982234, 3096)
6 ==> 34 85 (0.982868, 3098)
6 ==> 86 (0.984137, 3102)
6 ==> 86 85 (0.984137, 3102)
6 ==> 85 (1, 3152)
10 ==> 36 (0.988903, 3208)
10 ==> 36 90 (0.929716, 3016)
10 ==> 36 90 34 (0.929716, 3016)
10 ==> 36 90 34 86 (0.929716, 3016)
10 ==> 36 90 34 86 85 (0.929716, 3016)
10 ==> 36 90 34 85 (0.929716, 3016)
10 ==> 36 90 86 (0.929716, 3016)
10 ==> 36 90 86 85 (0.929716, 3016)
10 ==> 36 90 85 (0.929716, 3016)
10 ==> 36 34 (0.983354, 3190)
10 ==> 36 34 86 (0.983354, 3190)
10 ==> 36 34 86 85 (0.983354, 3190)
10 ==> 36 34 85 (0.983354, 3190)
10 ==> 36 86 (0.988903, 3208)
10 ==> 36 86 85 (0.988903, 3208)
10 ==> 36 85 (0.988903, 3208)
10 ==> 90 (0.940814, 3052)
10 ==> 90 34 (0.940814, 3052)
10 ==> 90 34 86 (0.938348, 3044)
10 ==> 90 34 86 85 (0.938348, 3044)
10 ==> 90 34 85 (0.940814, 3052)
10 ==> 90 86 (0.938348, 3044)
10 ==> 90 86 85 (0.938348, 3044)
10 ==> 90 85 (0.940814, 3052)
10 ==> 34 (0.994451, 3226)
10 ==> 34 86 (0.991985, 3218)
10 ==> 34 86 85 (0.991985, 3218)
10 ==> 34 85 (0.994451, 3226)
10 ==> 86 (0.997534, 3236)
10 ==> 86 85 (0.997534, 3236)
10 ==> 85 (1, 3244)
23 ==> 93 (0.943128, 3184)
93 ==> 23 (0.802419, 3184)
23 ==> 93 63 (0.843602, 2848)
93 ==> 23 63 (0.717742, 2848)
23 ==> 93 63 34 (0.843602, 2848)
93 ==> 23 63 34 (0.717742, 2848)
63 34 ==> 23 93 (0.600337, 2848)
23 ==> 93 63 34 86 (0.843602, 2848)
93 ==> 23 63 34 86 (0.717742, 2848)
63 34 ==> 23 93 86 (0.600337, 2848)
63 86 ==> 23 93 34 (0.600337, 2848)
23 ==> 93 63 34 86 85 (0.843602, 2848)
93 ==> 23 63 34 86 85 (0.717742, 2848)
63 34 ==> 23 93 86 85 (0.600337, 2848)
63 86 ==> 23 93 34 85 (0.600337, 2848)
23 ==> 93 63 34 85 (0.843602, 2848)
93 ==> 23 63 34 85 (0.717742, 2848)
63 34 ==> 23 93 85 (0.600337, 2848)
23 ==> 93 63 86 (0.843602, 2848)
93 ==> 23 63 86 (0.717742, 2848)
63 86 ==> 23 93 (0.600337, 2848)
23 ==> 93 63 86 85 (0.843602, 2848)
93 ==> 23 63 86 85 (0.717742, 2848)
63 86 ==> 23 93 85 (0.600337, 2848)
23 ==> 93 63 85 (0.843602, 2848)
93 ==> 23 63 85 (0.717742, 2848)
23 ==> 93 59 (0.900474, 3040)
93 ==> 23 59 (0.766129, 3040)
23 ==> 93 59 36 (0.869668, 2936)
93 ==> 23 59 36 (0.739919, 2936)
59 36 ==> 23 93 (0.663653, 2936)
23 ==> 93 59 36 34 (0.869668, 2936)
93 ==> 23 59 36 34 (0.739919, 2936)
59 36 ==> 23 93 34 (0.663653, 2936)
23 ==> 93 59 36 34 86 (0.869668, 2936)
93 ==> 23 59 36 34 86 (0.739919, 2936)
59 36 ==> 23 93 34 86 (0.663653, 2936)
23 ==> 93 59 36 34 86 85 (0.869668, 2936)
93 ==> 23 59 36 34 86 85 (0.739919, 2936)
59 36 ==> 23 93 34 86 85 (0.663653, 2936)
23 ==> 93 59 36 34 85 (0.869668, 2936)
93 ==> 23 59 36 34 85 (0.739919, 2936)
59 36 ==> 23 93 34 85 (0.663653, 2936)
23 ==> 93 59 36 86 (0.869668, 2936)
93 ==> 23 59 36 86 (0.739919, 2936)
59 36 ==> 23 93 86 (0.663653, 2936)
23 ==> 93 59 36 86 85 (0.869668, 2936)
93 ==> 23 59 36 86 85 (0.739919, 2936)
59 36 ==> 23 93 86 85 (0.663653, 2936)
23 ==> 93 59 36 85 (0.869668, 2936)
93 ==> 23 59 36 85 (0.739919, 2936)
59 36 ==> 23 93 85 (0.663653, 2936)
23 ==> 93 59 90 (0.869668, 2936)
93 ==> 23 59 90 (0.739919, 2936)
59 90 ==> 23 93 (0.619932, 2936)
23 ==> 93 59 90 34 (0.869668, 2936)
93 ==> 23 59 90 34 (0.739919, 2936)
59 90 ==> 23 93 34 (0.619932, 2936)
23 ==> 93 59 90 34 86 (0.869668, 2936)
93 ==> 23 59 90 34 86 (0.739919, 2936)
59 90 ==> 23 93 34 86 (0.619932, 2936)
23 ==> 93 59 90 34 86 85 (0.869668, 2936)
93 ==> 23 59 90 34 86 85 (0.739919, 2936)
59 90 ==> 23 93 34 86 85 (0.619932, 2936)
23 ==> 93 59 90 34 85 (0.869668, 2936)
93 ==> 23 59 90 34 85 (0.739919, 2936)
59 90 ==> 23 93 34 85 (0.619932, 2936)
23 ==> 93 59 90 86 (0.869668, 2936)
93 ==> 23 59 90 86 (0.739919, 2936)
59 90 ==> 23 93 86 (0.619932, 2936)
23 ==> 93 59 90 86 85 (0.869668, 2936)
93 ==> 23 59 90 86 85 (0.739919, 2936)
59 90 ==> 23 93 86 85 (0.619932, 2936)
23 ==> 93 59 90 85 (0.869668, 2936)
93 ==> 23 59 90 85 (0.739919, 2936)
59 90 ==> 23 93 85 (0.619932, 2936)
23 ==> 93 59 34 (0.900474, 3040)
93 ==> 23 59 34 (0.766129, 3040)
59 34 ==> 23 93 (0.609952, 3040)
23 ==> 93 59 34 86 (0.900474, 3040)
93 ==> 23 59 34 86 (0.766129, 3040)
59 34 ==> 23 93 86 (0.609952, 3040)
59 86 ==> 23 93 34 (0.609952, 3040)
23 ==> 93 59 34 86 85 (0.900474, 3040)
93 ==> 23 59 34 86 85 (0.766129, 3040)
59 34 ==> 23 93 86 85 (0.609952, 3040)
59 86 ==> 23 93 34 85 (0.609952, 3040)
23 ==> 93 59 34 85 (0.900474, 3040)
93 ==> 23 59 34 85 (0.766129, 3040)
59 34 ==> 23 93 85 (0.609952, 3040)
23 ==> 93 59 86 (0.900474, 3040)
93 ==> 23 59 86 (0.766129, 3040)
59 86 ==> 23 93 (0.609952, 3040)
23 ==> 93 59 86 85 (0.900474, 3040)
93 ==> 23 59 86 85 (0.766129, 3040)
59 86 ==> 23 93 85 (0.609952, 3040)
23 ==> 93 59 85 (0.900474, 3040)
93 ==> 23 59 85 (0.766129, 3040)
23 ==> 93 36 (0.912322, 3080)
93 ==> 23 36 (0.77621, 3080)
23 ==> 93 36 90 (0.881517, 2976)
93 ==> 23 36 90 (0.75, 2976)
23 ==> 93 36 90 34 (0.881517, 2976)
93 ==> 23 36 90 34 (0.75, 2976)
23 ==> 93 36 90 34 86 (0.881517, 2976)
93 ==> 23 36 90 34 86 (0.75, 2976)
23 ==> 93 36 90 34 86 85 (0.881517, 2976)
93 ==> 23 36 90 34 86 85 (0.75, 2976)
23 ==> 93 36 90 34 85 (0.881517, 2976)
93 ==> 23 36 90 34 85 (0.75, 2976)
23 ==> 93 36 90 86 (0.881517, 2976)
93 ==> 23 36 90 86 (0.75, 2976)
23 ==> 93 36 90 86 85 (0.881517, 2976)
93 ==> 23 36 90 86 85 (0.75, 2976)
23 ==> 93 36 90 85 (0.881517, 2976)
93 ==> 23 36 90 85 (0.75, 2976)
23 ==> 93 36 34 (0.912322, 3080)
93 ==> 23 36 34 (0.77621, 3080)
23 ==> 93 36 34 86 (0.912322, 3080)
93 ==> 23 36 34 86 (0.77621, 3080)
23 ==> 93 36 34 86 85 (0.912322, 3080)
93 ==> 23 36 34 86 85 (0.77621, 3080)
23 ==> 93 36 34 85 (0.912322, 3080)
93 ==> 23 36 34 85 (0.77621, 3080)
23 ==> 93 36 86 (0.912322, 3080)
93 ==> 23 36 86 (0.77621, 3080)
23 ==> 93 36 86 85 (0.912322, 3080)
93 ==> 23 36 86 85 (0.77621, 3080)
23 ==> 93 36 85 (0.912322, 3080)
93 ==> 23 36 85 (0.77621, 3080)
23 ==> 93 90 (0.912322, 3080)
93 ==> 23 90 (0.77621, 3080)
23 ==> 93 90 34 (0.912322, 3080)
93 ==> 23 90 34 (0.77621, 3080)
23 ==> 93 90 34 86 (0.912322, 3080)
93 ==> 23 90 34 86 (0.77621, 3080)
23 ==> 93 90 34 86 85 (0.912322, 3080)
93 ==> 23 90 34 86 85 (0.77621, 3080)
23 ==> 93 90 34 85 (0.912322, 3080)
93 ==> 23 90 34 85 (0.77621, 3080)
23 ==> 93 90 86 (0.912322, 3080)
93 ==> 23 90 86 (0.77621, 3080)
23 ==> 93 90 86 85 (0.912322, 3080)
93 ==> 23 90 86 85 (0.77621, 3080)
23 ==> 93 90 85 (0.912322, 3080)
93 ==> 23 90 85 (0.77621, 3080)
23 ==> 93 34 (0.943128, 3184)
93 ==> 23 34 (0.802419, 3184)
23 ==> 93 34 86 (0.943128, 3184)
93 ==> 23 34 86 (0.802419, 3184)
23 ==> 93 34 86 85 (0.943128, 3184)
93 ==> 23 34 86 85 (0.802419, 3184)
23 ==> 93 34 85 (0.943128, 3184)
93 ==> 23 34 85 (0.802419, 3184)
23 ==> 93 86 (0.943128, 3184)
93 ==> 23 86 (0.802419, 3184)
23 ==> 93 86 85 (0.943128, 3184)
93 ==> 23 86 85 (0.802419, 3184)
23 ==> 93 85 (0.943128, 3184)
93 ==> 23 85 (0.802419, 3184)
23 ==> 63 (0.900474, 3040)
63 ==> 23 (0.615883, 3040)
23 ==> 63 59 (0.879147, 2968)
63 ==> 23 59 (0.601297, 2968)
23 ==> 63 59 36 (0.848341, 2864)
63 59 ==> 23 36 (0.689124, 2864)
63 36 ==> 23 59 (0.684512, 2864)
59 36 ==> 23 63 (0.647378, 2864)
23 ==> 63 59 36 34 (0.848341, 2864)
63 59 ==> 23 36 34 (0.689124, 2864)
63 36 ==> 23 59 34 (0.684512, 2864)
63 34 ==> 23 59 36 (0.60371, 2864)
59 36 ==> 23 63 34 (0.647378, 2864)
23 ==> 63 59 36 34 86 (0.848341, 2864)
63 59 ==> 23 36 34 86 (0.689124, 2864)
63 36 ==> 23 59 34 86 (0.684512, 2864)
63 34 ==> 23 59 36 86 (0.60371, 2864)
63 86 ==> 23 59 36 34 (0.60371, 2864)
59 36 ==> 23 63 34 86 (0.647378, 2864)
23 ==> 63 59 36 34 86 85 (0.848341, 2864)
63 59 ==> 23 36 34 86 85 (0.689124, 2864)
63 36 ==> 23 59 34 86 85 (0.684512, 2864)
63 34 ==> 23 59 36 86 85 (0.60371, 2864)
63 86 ==> 23 59 36 34 85 (0.60371, 2864)
59 36 ==> 23 63 34 86 85 (0.647378, 2864)
23 ==> 63 59 36 34 85 (0.848341, 2864)
63 59 ==> 23 36 34 85 (0.689124, 2864)
63 36 ==> 23 59 34 85 (0.684512, 2864)
63 34 ==> 23 59 36 85 (0.60371, 2864)
59 36 ==> 23 63 34 85 (0.647378, 2864)
23 ==> 63 59 36 86 (0.848341, 2864)
63 59 ==> 23 36 86 (0.689124, 2864)
63 36 ==> 23 59 86 (0.684512, 2864)
63 86 ==> 23 59 36 (0.60371, 2864)
59 36 ==> 23 63 86 (0.647378, 2864)
23 ==> 63 59 36 86 85 (0.848341, 2864)
63 59 ==> 23 36 86 85 (0.689124, 2864)
63 36 ==> 23 59 86 85 (0.684512, 2864)
63 86 ==> 23 59 36 85 (0.60371, 2864)
59 36 ==> 23 63 86 85 (0.647378, 2864)
23 ==> 63 59 36 85 (0.848341, 2864)
63 59 ==> 23 36 85 (0.689124, 2864)
63 36 ==> 23 59 85 (0.684512, 2864)
59 36 ==> 23 63 85 (0.647378, 2864)
23 ==> 63 59 34 (0.879147, 2968)
63 ==> 23 59 34 (0.601297, 2968)
23 ==> 63 59 34 86 (0.879147, 2968)
63 ==> 23 59 34 86 (0.601297, 2968)
23 ==> 63 59 34 86 85 (0.879147, 2968)
63 ==> 23 59 34 86 85 (0.601297, 2968)
23 ==> 63 59 34 85 (0.879147, 2968)
63 ==> 23 59 34 85 (0.601297, 2968)
23 ==> 63 59 86 (0.879147, 2968)
63 ==> 23 59 86 (0.601297, 2968)
23 ==> 63 59 86 85 (0.879147, 2968)
63 ==> 23 59 86 85 (0.601297, 2968)
23 ==> 63 59 85 (0.879147, 2968)
63 ==> 23 59 85 (0.601297, 2968)
23 ==> 63 36 (0.869668, 2936)
63 36 ==> 23 (0.701721, 2936)
23 ==> 63 36 34 (0.869668, 2936)
63 36 ==> 23 34 (0.701721, 2936)
63 34 ==> 23 36 (0.618887, 2936)
23 ==> 63 36 34 86 (0.869668, 2936)
63 36 ==> 23 34 86 (0.701721, 2936)
63 34 ==> 23 36 86 (0.618887, 2936)
63 86 ==> 23 36 34 (0.618887, 2936)
23 ==> 63 36 34 86 85 (0.869668, 2936)
63 36 ==> 23 34 86 85 (0.701721, 2936)
63 34 ==> 23 36 86 85 (0.618887, 2936)
63 86 ==> 23 36 34 85 (0.618887, 2936)
23 ==> 63 36 34 85 (0.869668, 2936)
63 36 ==> 23 34 85 (0.701721, 2936)
63 34 ==> 23 36 85 (0.618887, 2936)
23 ==> 63 36 86 (0.869668, 2936)
63 36 ==> 23 86 (0.701721, 2936)
63 86 ==> 23 36 (0.618887, 2936)
23 ==> 63 36 86 85 (0.869668, 2936)
63 36 ==> 23 86 85 (0.701721, 2936)
63 86 ==> 23 36 85 (0.618887, 2936)
23 ==> 63 36 85 (0.869668, 2936)
63 36 ==> 23 85 (0.701721, 2936)
23 ==> 63 34 (0.900474, 3040)
63 ==> 23 34 (0.615883, 3040)
23 ==> 63 34 86 (0.900474, 3040)
63 ==> 23 34 86 (0.615883, 3040)
23 ==> 63 34 86 85 (0.900474, 3040)
63 ==> 23 34 86 85 (0.615883, 3040)
23 ==> 63 34 85 (0.900474, 3040)
63 ==> 23 34 85 (0.615883, 3040)
23 ==> 63 86 (0.900474, 3040)
63 ==> 23 86 (0.615883, 3040)
23 ==> 63 86 85 (0.900474, 3040)
63 ==> 23 86 85 (0.615883, 3040)
23 ==> 63 85 (0.900474, 3040)
63 ==> 23 85 (0.615883, 3040)
23 ==> 59 (0.957346, 3232)
59 ==> 23 (0.62442, 3232)
23 ==> 59 39 (0.850711, 2872)
59 39 ==> 23 (0.799555, 2872)
23 ==> 59 39 36 (0.850711, 2872)
59 39 ==> 23 36 (0.799555, 2872)
59 36 ==> 23 39 (0.649186, 2872)
39 36 ==> 23 59 (0.630378, 2872)
23 ==> 59 39 36 34 (0.850711, 2872)
59 39 ==> 23 36 34 (0.799555, 2872)
59 36 ==> 23 39 34 (0.649186, 2872)
39 36 ==> 23 59 34 (0.630378, 2872)
23 ==> 59 39 36 34 86 (0.850711, 2872)
59 39 ==> 23 36 34 86 (0.799555, 2872)
59 36 ==> 23 39 34 86 (0.649186, 2872)
39 36 ==> 23 59 34 86 (0.630378, 2872)
23 ==> 59 39 36 34 86 85 (0.850711, 2872)
59 39 ==> 23 36 34 86 85 (0.799555, 2872)
59 36 ==> 23 39 34 86 85 (0.649186, 2872)
39 36 ==> 23 59 34 86 85 (0.630378, 2872)
23 ==> 59 39 36 34 85 (0.850711, 2872)
59 39 ==> 23 36 34 85 (0.799555, 2872)
59 36 ==> 23 39 34 85 (0.649186, 2872)
39 36 ==> 23 59 34 85 (0.630378, 2872)
23 ==> 59 39 36 86 (0.850711, 2872)
59 39 ==> 23 36 86 (0.799555, 2872)
59 36 ==> 23 39 86 (0.649186, 2872)
39 36 ==> 23 59 86 (0.630378, 2872)
23 ==> 59 39 36 86 85 (0.850711, 2872)
59 39 ==> 23 36 86 85 (0.799555, 2872)
59 36 ==> 23 39 86 85 (0.649186, 2872)
39 36 ==> 23 59 86 85 (0.630378, 2872)
23 ==> 59 39 36 85 (0.850711, 2872)
59 39 ==> 23 36 85 (0.799555, 2872)
59 36 ==> 23 39 85 (0.649186, 2872)
39 36 ==> 23 59 85 (0.630378, 2872)
23 ==> 59 39 34 (0.850711, 2872)
59 39 ==> 23 34 (0.799555, 2872)
23 ==> 59 39 34 86 (0.850711, 2872)
59 39 ==> 23 34 86 (0.799555, 2872)
23 ==> 59 39 34 86 85 (0.850711, 2872)
59 39 ==> 23 34 86 85 (0.799555, 2872)
23 ==> 59 39 34 85 (0.850711, 2872)
59 39 ==> 23 34 85 (0.799555, 2872)
23 ==> 59 39 86 (0.850711, 2872)
59 39 ==> 23 86 (0.799555, 2872)
23 ==> 59 39 86 85 (0.850711, 2872)
59 39 ==> 23 86 85 (0.799555, 2872)
23 ==> 59 39 85 (0.850711, 2872)
59 39 ==> 23 85 (0.799555, 2872)
23 ==> 59 36 (0.92654, 3128)
59 ==> 23 36 (0.604328, 3128)
23 ==> 59 36 34 (0.92654, 3128)
59 ==> 23 36 34 (0.604328, 3128)
23 ==> 59 36 34 86 (0.92654, 3128)
59 ==> 23 36 34 86 (0.604328, 3128)
23 ==> 59 36 34 86 85 (0.92654, 3128)
59 ==> 23 36 34 86 85 (0.604328, 3128)
23 ==> 59 36 34 85 (0.92654, 3128)
59 ==> 23 36 34 85 (0.604328, 3128)
23 ==> 59 36 86 (0.92654, 3128)
59 ==> 23 36 86 (0.604328, 3128)
23 ==> 59 36 86 85 (0.92654, 3128)
59 ==> 23 36 86 85 (0.604328, 3128)
23 ==> 59 36 85 (0.92654, 3128)
59 ==> 23 36 85 (0.604328, 3128)
23 ==> 59 90 (0.869668, 2936)
59 90 ==> 23 (0.619932, 2936)
23 ==> 59 90 34 (0.869668, 2936)
59 90 ==> 23 34 (0.619932, 2936)
23 ==> 59 90 34 86 (0.869668, 2936)
59 90 ==> 23 34 86 (0.619932, 2936)
23 ==> 59 90 34 86 85 (0.869668, 2936)
59 90 ==> 23 34 86 85 (0.619932, 2936)
23 ==> 59 90 34 85 (0.869668, 2936)
59 90 ==> 23 34 85 (0.619932, 2936)
23 ==> 59 90 86 (0.869668, 2936)
59 90 ==> 23 86 (0.619932, 2936)
23 ==> 59 90 86 85 (0.869668, 2936)
59 90 ==> 23 86 85 (0.619932, 2936)
23 ==> 59 90 85 (0.869668, 2936)
59 90 ==> 23 85 (0.619932, 2936)
23 ==> 59 34 (0.957346, 3232)
59 ==> 23 34 (0.62442, 3232)
23 ==> 59 34 86 (0.957346, 3232)
59 ==> 23 34 86 (0.62442, 3232)
23 ==> 59 34 86 85 (0.957346, 3232)
59 ==> 23 34 86 85 (0.62442, 3232)
23 ==> 59 34 85 (0.957346, 3232)
59 ==> 23 34 85 (0.62442, 3232)
23 ==> 59 86 (0.957346, 3232)
59 ==> 23 86 (0.62442, 3232)
23 ==> 59 86 85 (0.957346, 3232)
59 ==> 23 86 85 (0.62442, 3232)
23 ==> 59 85 (0.957346, 3232)
59 ==> 23 85 (0.62442, 3232)
23 ==> 39 (0.893365, 3016)
23 ==> 39 36 (0.893365, 3016)
39 36 ==> 23 (0.661984, 3016)
23 ==> 39 36 34 (0.893365, 3016)
39 36 ==> 23 34 (0.661984, 3016)
23 ==> 39 36 34 86 (0.893365, 3016)
39 36 ==> 23 34 86 (0.661984, 3016)
23 ==> 39 36 34 86 85 (0.893365, 3016)
39 36 ==> 23 34 86 85 (0.661984, 3016)
23 ==> 39 36 34 85 (0.893365, 3016)
39 36 ==> 23 34 85 (0.661984, 3016)
23 ==> 39 36 86 (0.893365, 3016)
39 36 ==> 23 86 (0.661984, 3016)
23 ==> 39 36 86 85 (0.893365, 3016)
39 36 ==> 23 86 85 (0.661984, 3016)
23 ==> 39 36 85 (0.893365, 3016)
39 36 ==> 23 85 (0.661984, 3016)
23 ==> 39 34 (0.893365, 3016)
23 ==> 39 34 86 (0.893365, 3016)
23 ==> 39 34 86 85 (0.893365, 3016)
23 ==> 39 34 85 (0.893365, 3016)
23 ==> 39 86 (0.893365, 3016)
23 ==> 39 86 85 (0.893365, 3016)
23 ==> 39 85 (0.893365, 3016)
23 ==> 36 (0.969194, 3272)
23 ==> 36 90 (0.881517, 2976)
23 ==> 36 90 34 (0.881517, 2976)
23 ==> 36 90 34 86 (0.881517, 2976)
23 ==> 36 90 34 86 85 (0.881517, 2976)
23 ==> 36 90 34 85 (0.881517, 2976)
23 ==> 36 90 86 (0.881517, 2976)
23 ==> 36 90 86 85 (0.881517, 2976)
23 ==> 36 90 85 (0.881517, 2976)
23 ==> 36 34 (0.969194, 3272)
23 ==> 36 34 86 (0.969194, 3272)
23 ==> 36 34 86 85 (0.969194, 3272)
23 ==> 36 34 85 (0.969194, 3272)
23 ==> 36 86 (0.969194, 3272)
23 ==> 36 86 85 (0.969194, 3272)
23 ==> 36 85 (0.969194, 3272)
23 ==> 90 (0.912322, 3080)
23 ==> 90 34 (0.912322, 3080)
23 ==> 90 34 86 (0.912322, 3080)
23 ==> 90 34 86 85 (0.912322, 3080)
23 ==> 90 34 85 (0.912322, 3080)
23 ==> 90 86 (0.912322, 3080)
23 ==> 90 86 85 (0.912322, 3080)
23 ==> 90 85 (0.912322, 3080)
23 ==> 34 (1, 3376)
23 ==> 34 86 (1, 3376)
23 ==> 34 86 85 (1, 3376)
23 ==> 34 85 (1, 3376)
23 ==> 86 (1, 3376)
23 ==> 86 85 (1, 3376)
23 ==> 85 (1, 3376)
52 ==> 36 (0.872582, 3068)
52 ==> 36 34 (0.812856, 2858)
52 ==> 36 34 86 (0.812856, 2858)
52 ==> 36 34 86 85 (0.812856, 2858)
52 ==> 36 34 85 (0.812856, 2858)
52 ==> 36 86 (0.817975, 2876)
52 ==> 36 86 85 (0.817975, 2876)
52 ==> 36 85 (0.872582, 3068)
52 ==> 90 (0.819113, 2880)
52 ==> 90 85 (0.819113, 2880)
52 ==> 34 (0.940273, 3306)
52 ==> 34 86 (0.937998, 3298)
52 ==> 34 86 85 (0.937998, 3298)
52 ==> 34 85 (0.940273, 3306)
52 ==> 86 (0.943117, 3316)
52 ==> 86 85 (0.943117, 3316)
52 ==> 85 (1, 3516)
28 ==> 2 (0.965986, 3408)
2 ==> 28 (0.809886, 3408)
28 ==> 2 39 (0.911565, 3216)
2 ==> 28 39 (0.764259, 3216)
28 ==> 2 39 34 (0.857143, 3024)
2 ==> 28 39 34 (0.718631, 3024)
28 ==> 2 39 34 86 (0.857143, 3024)
2 ==> 28 39 34 86 (0.718631, 3024)
28 ==> 2 39 34 86 85 (0.857143, 3024)
2 ==> 28 39 34 86 85 (0.718631, 3024)
28 ==> 2 39 34 85 (0.857143, 3024)
2 ==> 28 39 34 85 (0.718631, 3024)
28 ==> 2 39 86 (0.857143, 3024)
